knot_type,n_x,n_y,n_z,phi_x,phi_y,phi_z,min_reach,max_reach,bars_list
lissajous,2,3,5,1,1,1,0.00485036,0.01915539,[1.5707963267948966, 4.71238898038469]
lissajous,2,3,5,1,1,0,0.00527084,0.01908784,[1.5707963267948966, 4.71238898038469]
lissajous,2,3,5,1,0,1,0.00039465,0.01831486,[1.5707963267948966, 4.71238898038469]
lissajous,2,3,5,0,1,1,0.00252448,0.01827019,[1.5707963267948966, 4.71238898038469]
lissajous,2,3,7,1,1,1,0.00390191,0.02442074,[1.5707963267948966, 4.71238898038469]
lissajous,2,3,7,1,1,0,0.00325334,0.02468903,[1.5707963267948966, 4.71238898038469]
lissajous,2,3,7,0,1,1,0.00315844,0.02469992,[1.5707963267948966, 4.71238898038469]
lissajous,2,3,11,1,1,1,0.00218789,0.03606592,[1.5707963267948966, 4.71238898038469]
lissajous,2,3,11,1,1,0,0.00293378,0.03625303,[1.5707963267948966, 4.71238898038469]
lissajous,2,3,11,0,1,1,0.00386412,0.03629677,[1.5707963267948966, 4.71238898038469]
lissajous,2,5,7,1,0,1,0.00285006,0.02691146,[1.5707963267948966, 4.71238898038469]
lissajous,2,5,7,0,1,1,0.00257887,0.02694165,[1.5707963267948966, 4.71238898038469]
lissajous,2,5,9,1,1,0,0.00091897,0.03259676,[1.5707963267948966, 4.71238898038469]
lissajous,2,5,9,1,0,1,0.00342193,0.03258813,[1.5707963267948966, 4.71238898038469]
lissajous,2,5,9,0,1,1,0.00389244,0.03290033,[1.5707963267948966, 4.71238898038469]
lissajous,2,7,9,1,1,1,0.00605551,0.03617186,[1.5707963267948966, 4.71238898038469]
lissajous,2,7,9,1,1,0,0.0056522,0.03619358,[1.5707963267948966, 4.71238898038469]
lissajous,2,7,9,1,0,1,0.00166763,0.03576047,[1.5707963267948966, 4.71238898038469]
lissajous,2,7,9,0,1,1,0.00261247,0.03572806,[1.5707963267948966, 4.71238898038469]
lissajous,2,7,11,1,1,0,0.00307934,0.04130433,[1.5707963267948966, 4.71238898038469]
lissajous,2,7,11,0,1,1,0.0043926,0.04134437,[1.5707963267948966, 4.71238898038469]
lissajous,2,9,11,0,1,1,0.00269372,0.0445406,[1.5707963267948966, 4.71238898038469]
lissajous,3,4,5,1,1,1,0.00380311,0.02209917,[1.5707963267948966, 4.71238898038469]
lissajous,3,4,5,1,1,0,0.00490459,0.02099031,[1.5707963267948966, 4.71238898038469]
lissajous,3,4,5,1,0,1,0.00556356,0.02096844,[1.5707963267948966, 4.71238898038469]
lissajous,3,4,5,0,1,1,0.00588085,0.02154708,[1.5707963267948966, 4.71238898038469]
lissajous,3,4,7,1,1,0,0.00768813,0.02672145,[1.5707963267948966, 4.71238898038469]
lissajous,3,4,7,1,0,1,0.00190614,0.02531361,[1.5707963267948966, 4.71238898038469]
lissajous,3,4,11,1,1,1,0.00616534,0.03744309,[1.5707963267948966, 4.71238898038469]
lissajous,3,4,11,1,1,0,0.00224289,0.0378889,[1.5707963267948966, 4.71238898038469]
lissajous,3,4,11,1,0,1,0.00201394,0.03790042,[1.5707963267948966, 4.71238898038469]
