knot_type,n_x,n_y,n_z,phi_x,phi_y,phi_z,min_reach,max_reach,bars_list
lissajous,1,1,1,1.5707963267948966,0,0,0.01570925,0.02221213,[]
lissajous,1,1,2,1.5707963267948966,0,0,0.01573827,0.0351053,[]
lissajous,1,1,3,1.5707963267948966,0,0,0.01572474,0.04960659,[]
lissajous,1,1,4,1.5707963267948966,0,0,0.01619458,0.06424513,[]
lissajous,1,1,5,1.5707963267948966,0,0,0.01687051,0.07977879,[]
lissajous,1,1,6,1.5707963267948966,0,0,0.01598305,0.09499821,[]
lissajous,1,1,7,1.5707963267948966,0,0,0.01580161,0.11019682,[]
lissajous,1,1,8,1.5707963267948966,0,0,0.01570732,0.1241112,[]
lissajous,1,1,9,1.5707963267948966,0,0,0.01586247,0.1403771,[]
lissajous,1,3,5,1.5707963267948966,0,0,0.01701403,0.09128028,[]
lissajous,1,3,7,1.5707963267948966,0,0,0.01991441,0.11878877,[]
lissajous,1,5,7,1.5707963267948966,0,0,0.02072568,0.13421853,[]
