knot_type,n_x,n_y,n_z,phi_x,phi_y,phi_z,bars_list,min_reach,max_reach
lissajous,2,3,5,1.0471975511965976,1.0471975511965976,0,[],0.00494004,0.01900808
lissajous,2,3,5,0,1.0471975511965976,1.0471975511965976,[],0.00231082,0.0182746
lissajous,2,3,7,1.0471975511965976,1.0471975511965976,1.0471975511965976,[],0.00383575,0.02446294
lissajous,2,3,7,1.0471975511965976,1.0471975511965976,0,[],0.00294209,0.02467222
lissajous,2,3,7,0,1.0471975511965976,1.0471975511965976,[],0.00290902,0.02468303
lissajous,2,3,11,1.0471975511965976,1.0471975511965976,0,[],0.00338168,0.03627738
lissajous,2,3,11,0,1.0471975511965976,1.0471975511965976,[],0.00356925,0.03628057
lissajous,2,5,7,1.0471975511965976,0,1.0471975511965976,[],0.00235155,0.02694821
lissajous,2,5,7,0,1.0471975511965976,1.0471975511965976,[],0.00234538,0.02695492
lissajous,2,5,9,1.0471975511965976,0,1.0471975511965976,[],0.00330873,0.03252571
lissajous,2,5,9,0,1.0471975511965976,1.0471975511965976,[],0.00360621,0.03288389
lissajous,2,7,9,1.0471975511965976,1.0471975511965976,1.0471975511965976,[],0.00623766,0.0362021
lissajous,2,7,9,1.0471975511965976,0,1.0471975511965976,[],0.00233326,0.03572249
lissajous,2,7,9,0,1.0471975511965976,1.0471975511965976,[],0.00246922,0.0357445
lissajous,2,7,11,1.0471975511965976,1.0471975511965976,0,[],0.00391883,0.04134271
lissajous,2,7,11,0,1.0471975511965976,1.0471975511965976,[],0.00400943,0.04135946
lissajous,2,9,11,1.0471975511965976,1.0471975511965976,0,[],0.00556365,0.04480251
lissajous,2,9,11,0,1.0471975511965976,1.0471975511965976,[],0.00260492,0.04455788
lissajous,3,4,5,1.0471975511965976,1.0471975511965976,1.0471975511965976,[],0.0039782,0.02211735
lissajous,3,4,5,1.0471975511965976,1.0471975511965976,0,[],0.00511948,0.02104768
lissajous,3,4,5,1.0471975511965976,0,1.0471975511965976,[],0.00511903,0.02104935
lissajous,3,4,7,1.0471975511965976,1.0471975511965976,0,[],0.00714844,0.02663064
lissajous,3,4,7,1.0471975511965976,0,1.0471975511965976,[],0.00232205,0.02531636
lissajous,3,4,11,1.0471975511965976,1.0471975511965976,1.0471975511965976,[],0.00580059,0.03754595
lissajous,3,4,11,1.0471975511965976,1.0471975511965976,0,[],0.00215081,0.03789182
lissajous,3,4,11,1.0471975511965976,0,1.0471975511965976,[],0.00224813,0.03787763
lissajous,3,5,7,1.0471975511965976,1.0471975511965976,1.0471975511965976,[],0.00333015,0.02841437
lissajous,3,5,7,1.0471975511965976,1.0471975511965976,0,[],0.00682814,0.02778604
lissajous,3,5,7,1.0471975511965976,0,1.0471975511965976,[],0.00681856,0.02777435
lissajous,3,5,8,1.0471975511965976,1.0471975511965976,0,[],0.00763607,0.03080033
lissajous,3,5,8,1.0471975511965976,0,1.0471975511965976,[],0.00234425,0.0296098
lissajous,3,5,11,1.0471975511965976,1.0471975511965976,0,[],0.0030601,0.03891164
lissajous,3,5,11,1.0471975511965976,0,1.0471975511965976,[],0.00458848,0.03880421
lissajous,3,7,8,1.0471975511965976,1.0471975511965976,1.0471975511965976,[],0.0060225,0.03453883
lissajous,3,7,8,1.0471975511965976,1.0471975511965976,0,[],0.00500144,0.03409706
lissajous,3,7,8,1.0471975511965976,0,1.0471975511965976,[],0.00500094,0.0340835
lissajous,3,7,10,1.0471975511965976,1.0471975511965976,0,[],0.00807296,0.0391122
lissajous,3,7,10,1.0471975511965976,0,1.0471975511965976,[],0.0023894,0.03831132
lissajous,3,7,11,1.0471975511965976,1.0471975511965976,1.0471975511965976,[],0.00275915,0.04191258
lissajous,3,7,11,1.0471975511965976,1.0471975511965976,0,[],0.00706033,0.04136636
lissajous,3,7,11,1.0471975511965976,0,1.0471975511965976,[],0.00707668,0.04138041
lissajous,3,8,11,1.0471975511965976,1.0471975511965976,0,[],0.00795575,0.04350111
lissajous,3,8,11,1.0471975511965976,0,1.0471975511965976,[],0.00268225,0.04263161
lissajous,4,5,7,1.0471975511965976,1.0471975511965976,0,[],0.00438285,0.02846567
lissajous,4,5,7,0,1.0471975511965976,1.0471975511965976,[],0.00440728,0.02847001
lissajous,4,5,9,1.0471975511965976,1.0471975511965976,1.0471975511965976,[],0.00941261,0.03433565
lissajous,4,5,9,1.0471975511965976,0,1.0471975511965976,[],0.00232284,0.03231251
lissajous,4,5,9,0,1.0471975511965976,1.0471975511965976,[],0.0023696,0.03231644
lissajous,4,5,11,1.0471975511965976,1.0471975511965976,0,[],0.00592669,0.03980093
lissajous,4,5,11,1.0471975511965976,0,1.0471975511965976,[],0.00583297,0.03983194
lissajous,4,7,9,1.0471975511965976,0,1.0471975511965976,[],0.00864121,0.03767531
lissajous,4,7,9,0,1.0471975511965976,1.0471975511965976,[],0.00379065,0.03631853
lissajous,4,7,11,1.0471975511965976,0,1.0471975511965976,[],0.00234943,0.04085163
lissajous,4,7,11,0,1.0471975511965976,1.0471975511965976,[],0.00262126,0.04089526
lissajous,5,6,7,1.0471975511965976,1.0471975511965976,1.0471975511965976,[],0.00433124,0.03286348
lissajous,5,6,7,1.0471975511965976,1.0471975511965976,0,[],0.00891613,0.03192315
lissajous,5,6,7,0,1.0471975511965976,1.0471975511965976,[],0.00890965,0.03193513
lissajous,5,6,11,1.0471975511965976,1.0471975511965976,0,[],0.0115114,0.04184614
lissajous,5,6,11,0,1.0471975511965976,1.0471975511965976,[],0.00252143,0.03930608
lissajous,5,7,8,1.0471975511965976,1.0471975511965976,0,[],0.00998349,0.03638238
lissajous,5,7,8,0,1.0471975511965976,1.0471975511965976,[],0.00996462,0.03636554
lissajous,5,7,9,1.0471975511965976,1.0471975511965976,1.0471975511965976,[],0.00386212,0.03887986
lissajous,5,7,9,1.0471975511965976,0,1.0471975511965976,[],0.01000545,0.03778857
lissajous,5,7,9,0,1.0471975511965976,1.0471975511965976,[],0.01001308,0.03779259
lissajous,5,7,11,1.0471975511965976,1.0471975511965976,0,[],0.00968826,0.04273757
lissajous,5,7,11,0,1.0471975511965976,1.0471975511965976,[],0.00968522,0.042727
lissajous,5,8,9,1.0471975511965976,0,1.0471975511965976,[],0.00531481,0.03952054
lissajous,5,8,9,0,1.0471975511965976,1.0471975511965976,[],0.00911132,0.04050767
lissajous,5,9,11,1.0471975511965976,1.0471975511965976,0,[],0.00889567,0.04643117
lissajous,6,7,11,1.0471975511965976,1.0471975511965976,1.0471975511965976,[],0.01046151,0.04468251
lissajous,6,7,11,1.0471975511965976,1.0471975511965976,0,[],0.00687114,0.04436233
lissajous,6,7,11,1.0471975511965976,0,1.0471975511965976,[],0.00695934,0.04433
lissajous,7,8,9,1.0471975511965976,1.0471975511965976,1.0471975511965976,[],0.00451028,0.04367382
lissajous,7,8,9,1.0471975511965976,0,1.0471975511965976,[],0.01054339,0.04199772
lissajous,7,8,9,0,1.0471975511965976,1.0471975511965976,[],0.01049901,0.04197402
lissajous,8,9,11,0,1.0471975511965976,1.0471975511965976,[],0.00953611,0.05040252
